Year,Origin,Dest,Distance,Flights_Count,DepDelay_Sum,ArrDelay_Sum
2001,SAT,MCO,1040,365,10,13
2001,SAT,ORD,1041,2151,260,318
2001,SAT,RDU,1225,61,1,3
2001,SAT,TPA,972,385,59,49
2001,SDF,BNA,151,148,16,22
2001,SDF,DTW,306,1235,179,212
2001,SDF,EWR,642,6,0,0
2001,SDF,PIT,335,1425,218,234
2001,SDF,STL,254,3087,588,638
2001,SEA,CLE,2021,88,2,2
2001,SEA,GEG,224,4785,1783,1873
2001,SEA,IAD,2306,1187,102,111
2001,SDF,MEM,320,323,18,28
2001,SEA,BWI,2335,119,6,6
2001,SEA,JNU,909,1278,216,224
2001,SEA,MCI,1489,365,29,24
2001,SEA,ONT,956,1446,298,335
2001,SEA,PHL,2378,1122,78,114
2001,SEA,SAN,1050,2774,593,676
2001,SEA,SIT,862,126,35,30
2001,SFO,DTW,2079,1446,109,92
2001,SFO,HNL,2398,2269,195,225
2001,SFO,MFR,329,1068,305,270
2001,SFO,MSP,1589,2496,201,202
2001,SFO,PIT,2254,1472,89,93
2001,SFO,SNA,372,4075,723,847
2001,SHV,DFW,190,4904,889,1042
2001,SHV,JAN,220,1,1,1
2001,SIT,SEA,862,161,27,43
2001,SJC,IAH,1608,1300,65,65
2001,SJC,ONT,333,3088,577,589
2001,SJC,PDX,569,4659,890,979
2001,SJC,TUS,721,478,112,121
2001,SJU,BOS,1674,1614,204,199
2001,SJU,FLL,1046,1278,146,142
2001,SJU,STT,68,639,184,258
2001,SLC,CVG,1449,2017,134,171
2001,SLC,DEN,391,4364,777,918
2001,SLC,GTF,463,727,131,147
2001,SLC,MSO,436,851,128,162
2001,SLC,PHL,1926,726,65,86
2001,SMF,LAX,373,4712,1355,1355
2001,SMF,MCI,1442,365,19,18
2001,SMF,SFO,86,1,0,1
2001,SNA,DTW,1960,365,20,19
2001,SNA,PDX,859,1023,168,172
2001,SNA,SFO,372,4306,977,1140
2001,STL,ANC,2936,169,15,14
2001,STL,AUS,722,1314,202,232
2001,STL,BNA,271,2053,344,360
2001,STL,CLE,487,2737,582,592
2001,STL,DAY,338,1316,185,211
2001,STL,EWR,872,2562,505,540
2001,STL,HNL,4129,363,20,19
2001,STL,LAS,1372,1879,175,202
2001,STL,LGA,887,3072,666,776
2001,STL,ORF,784,1085,156,148
2001,STL,SAN,1558,1462,140,141
2001,STT,SJU,68,1014,216,307
2001,SUX,MSP,234,273,30,44
2001,SYR,BOS,264,523,180,199
2001,TPA,ATL,406,4663,765,933
2001,TPA,BDL,1111,650,101,112
2001,TPA,DCA,814,807,136,163
2001,TPA,DEN,1506,776,95,95
2001,TPA,DTW,983,1983,189,190
2001,TPA,LAS,1984,539,39,36
2001,TPA,MEM,656,1114,137,179
2001,TUL,DEN,541,1090,161,161
2001,TUL,MCI,223,1278,259,254
2001,TUS,ATL,1541,1,0,0
2001,TUS,PHX,110,4558,869,1243
